value,Date,,,,,,,,,,,
203,4/13/2019,,,,,,,,,,,
226,4/20/2019,,,,,,,,,,,IUR  
230,4/27/2019,,,,,,,,,,, 
225,5/4/2019,,,,,,,,,,, 
217,5/11/2019,,,,,,,,,,, 
213,5/18/2019,,,,,,,,,,, 
218,5/25/2019,,,,,,,,,,, 
220,6/1/2019,,,,,,,,,,, 
220,6/8/2019,,,,,,,,,,, 
219,6/15/2019,,,,,,,,,,, 
224,6/22/2019,,,,,,,,,,, 
222,6/29/2019,,,,,,,,,,, 
211,7/6/2019,,,,,,,,,,, 
217,7/13/2019,,,,,,,,,,, 
211,7/20/2019,,,,,,,,,,, 
216,7/27/2019,,,,,,,,,,, 
214,8/3/2019,,,,,,,,,,, 
218,8/10/2019,,,,,,,,,,, 
215,8/17/2019,,,,,,,,,,, 
215,8/24/2019,,,,,,,,,,, 
219,8/31/2019,,,,,,,,,,, 
208,9/7/2019,,,,,,,,,,, 
211,9/14/2019,,,,,,,,,,, 
215,9/21/2019,,,,,,,,,,, 
218,9/28/2019,,,,,,,,,,, 
212,10/5/2019,,,,,,,,,,, 
218,10/12/2019,,,,,,,,,,, 
213,10/19/2019,,,,,,,,,,, 
217,10/26/2019,,,,,,,,,,, 
212,11/2/2019,,,,,,,,,,, 
222,11/9/2019,,,,,,,,,,, 
223,11/16/2019,,,,,,,,,,, 
211,11/23/2019,,,,,,,,,,, 
206,11/30/2019,,,,,,,,,,, 
237,12/7/2019,,,,,,,,,,, 
229,12/14/2019,,,,,,,,,,, 
218,12/21/2019,,,,,,,,,,, 
220,12/28/2019,,,,,,,,,,, 
212,1/4/2020,,,,,,,,,,, 
207,1/11/2020,,,,,,,,,,, 
220,1/18/2020,,,,,,,,,,, 
212,1/25/2020,,,,,,,,,,, 
201,2/1/2020,,,,,,,,,,, 
204,2/8/2020,,,,,,,,,,, 
215,2/15/2020,,,,,,,,,,, 
220,2/22/2020,,,,,,,,,,, 
217,2/29/2020,,,,,,,,,,, 
211,3/7/2020,,,,,,,,,,, 
282,3/14/2020,,,,,,,,,,, 
"3,307",3/21/2020,,,,,,,,,,, 
"6,867",3/28/2020,,,,,,,,,,, 
"6,615",4/4/2020,,,,,,,,,,,
"5,237",4/11/2020,,,,,,,,,,,
"4,427",4/18/2020,,,,,,,,,,,
